id,name,name_en,symbol,value,value_str,unit,uncertainty,temperature_K,material,burnup_range,category,subcategory,equation,notes,source_file,confidence
151846_f3c95453_param_011,U-10Mo fuel core thickness,U-10Mo fuel core thickness,$t_fuel$,0.4318,0.4318,mm,,,U-10Mo,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_012,U-10Mo fuel core length,U-10Mo fuel core length,$L_fuel$,609.6,609.6,mm,,,U-10Mo,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_013,U-10Mo fuel core width,U-10Mo fuel core width,$W_fuel$,102.81,102.81,mm,,,U-10Mo,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_014,Zr barrier thickness (each side),Zr barrier thickness (each side),$t_Zr$,0.0254,0.0254,mm,,,Zr,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_015,AA6061 cladding thickness (each side),AA6061 cladding thickness (each side),$t_clad$,0.381,0.381,mm,,,AA6061,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_016,AA6061 cladding length,AA6061 cladding length,$L_clad$,647.7,647.7,mm,,,AA6061,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_017,AA6061 cladding width,AA6061 cladding width,$W_clad$,109.72,109.72,mm,,,AA6061,,experiment,general,,Plate 23 geometry,151846_f3c95453.md,high
151846_f3c95453_param_018,Average power at 48 hr,Average power at 48 hr,$P_48$,5982.0,5982,W/cm³,,,U-10Mo,,irradiation,general,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_019,Average fission density at 48 hr,Average fission density at 48 hr,$fd_48$,3.2e+25,3.2e+25,fissions/m³,,,U-10Mo,,microstructure,fission_density,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_020,Average power at 1258 hr,Average power at 1258 hr,$P_1258$,5776.0,5776,W/cm³,,,U-10Mo,,irradiation,general,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_021,Average fission density at 1258 hr,Average fission density at 1258 hr,$fd_1258$,8.26e+26,8.26e+26,fissions/m³,,,U-10Mo,,microstructure,fission_density,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_022,Average power at 1560 hr,Average power at 1560 hr,$P_1560$,5746.0,5746,W/cm³,,,U-10Mo,,irradiation,general,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_023,Average fission density at 1560 hr,Average fission density at 1560 hr,$fd_1560$,1.02e+27,1.02e+27,fissions/m³,,,U-10Mo,,microstructure,fission_density,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_024,Average power at EOL (2873 hr),Average power at EOL (2873 hr),$P_EOL$,5225.0,5225,W/cm³,,,U-10Mo,,irradiation,general,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_025,Average fission density at EOL,Average fission density at EOL,$fd_EOL$,1.86e+27,1.86e+27,fissions/m³,,,U-10Mo,,microstructure,fission_density,,Plate 23 irradiation,151846_f3c95453.md,high
151846_f3c95453_param_026,Maximum local fission density at EOL,Maximum local fission density at EOL,$fd_max$,2.62e+27,2.62e+27,fissions/m³,,,U-10Mo,,microstructure,fission_density,,FEA model EOL,151846_f3c95453.md,high
151846_f3c95453_param_027,Local-to-average fission density ratio,Local-to-average fission density ratio,$ratio$,1.4,1.4,dimensionless,up to ~1.4,,U-10Mo,,microstructure,fission_density,,FEA model,151846_f3c95453.md,medium
151846_f3c95453_param_028,Coolant channel 23 width (inboard),Coolant channel 23 width (inboard),$ch23$,2.3622,2.3622,mm,,,,,experiment,general,,Between plates 22-23,151846_f3c95453.md,high
151846_f3c95453_param_029,Coolant channel 24 width (outboard),Coolant channel 24 width (outboard),$ch24$,2.4257,2.4257,mm,,,,,experiment,general,,Plate 23 outboard side,151846_f3c95453.md,high
151846_f3c95453_param_030,Total FEA elements,Total FEA elements,$N_elem$,186624.0,186624,elements,,,U-10Mo/Zr/AA6061,,experiment,general,,"C3D8T elements, ABAQUS",151846_f3c95453.md,high
151846_f3c95453_param_031,蠕变参数,Creep rate coefficient A=750,$A$,7.5e-23,7.5e-23,cm³/MPa-fission,,,U-10Mo,,mechanical,creep,Irradiation creep (Eq. 5),Sensitivity analysis value,151846_f3c95453.md,high
151846_f3c95453_param_032,蠕变参数,Creep rate coefficient A=500 (Kim calibrated),$A$,5e-23,5e-23,cm³/MPa-fission,,,U-10Mo,,mechanical,creep,Irradiation creep (Eq. 5),"Kim et al. calibrated, baseline case",151846_f3c95453.md,high
151846_f3c95453_param_033,蠕变参数,Creep rate coefficient A=250,$A$,2.5e-23,2.5e-23,cm³/MPa-fission,,,U-10Mo,,mechanical,creep,Irradiation creep (Eq. 5),Sensitivity analysis value,151846_f3c95453.md,high
151846_f3c95453_param_034,蠕变参数,Creep rate coefficient A=5,$A$,5e-25,5e-25,cm³/MPa-fission,,,U-10Mo,,mechanical,creep,Irradiation creep (Eq. 5),Sensitivity analysis value,151846_f3c95453.md,high
151846_f3c95453_param_035,肿胀参数,Kim swelling prediction at EOL,$ΔV/V_Kim$,10.0,10,%,~9-11%,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation,fd_max=2.62×10²⁷ fissions/m³,151846_f3c95453.md,medium
151846_f3c95453_param_036,肿胀参数,INL swelling prediction at EOL,$ΔV/V_INL$,13.0,13,%,~12-14%,,U-10Mo,,swelling_rate,swelling_correlation,INL swelling correlation,fd_max=2.62×10²⁷ fissions/m³,151846_f3c95453.md,medium
151846_f3c95453_param_037,肿胀参数,95% UCL swelling prediction at EOL,$ΔV/V_UCL$,19.0,19,%,~18-20%,,U-10Mo,,swelling_rate,swelling_correlation,95% UCL swelling,fd_max=2.62×10²⁷ fissions/m³,151846_f3c95453.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_001,Surface tension,Surface tension,γ,0.6,0.6,J/m²,nominal,,"MX-type fuels (MC, MN)",,experiment,measured_parameter,equilibrium p=2γ/r,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_002,Relaxed surface bubble size,Relaxed surface bubble size,r',0.5,0.5,nm,,,MX-type fuels,,bubble,bubble_parameter,,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_003,Atomic radius of gas-in-fuel,Atomic radius of gas-in-fuel,r₀,0.3,0.3,nm,,,MX-type fuels,,experiment,measured_parameter,,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_004,Van der Waals constant,Van der Waals constant,K,1.942,1.942,m⁵/mol,,,MX-type fuels,,experiment,measured_parameter,Van der Waals EOS,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_005,Re-solution constant,Re-solution constant,,1e-14,1e-14,,,,MX-type fuels,,experiment,measured_parameter,C₀ = 4πdqf/b',fission spike,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_006,Gas creation rate,Gas creation rate,p,3.4e-05,3.4e-5,mol/(m³·s),,,MX-type fuels,,rate_theory,defect_rate,rate equation dc/dt = p - ...,fission,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_007,Maximum bubble concentration limit,Maximum bubble concentration limit,N_max,1e+24,1e24,m⁻³,extreme upper bound,,MX-type fuels,,bubble,bubble_parameter,ripening limit,all bubbles formed simultaneously,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_008,Percolation threshold,Percolation threshold,P_c,1.569,1.569,bonds per site,,,MX-type fuels,,experiment,measured_parameter,eq. 56,grain boundary pore interlinkage,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,high
1979_Ronchi_FissionGasSwellingMX_Fuels_param_009,Brownian sweeping lifetime (vaporization),Brownian sweeping lifetime (vaporization),τ₀,100000.0,1e5,s,order of magnitude,,MC fuel,,bubble,bubble_parameter,,500 Å bubbles,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_010,Brownian sweeping lifetime (solid state),Brownian sweeping lifetime (solid state),τ₀,10000000000.0,1e10,s,order of magnitude,,MC fuel,,bubble,bubble_parameter,,500 Å bubbles,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_011,Pore migration velocity estimate,Pore migration velocity estimate,u,1e-12,1e-12,m/s,order of magnitude,,MX-type fuels,,experiment,measured_parameter,,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,low
1979_Ronchi_FissionGasSwellingMX_Fuels_param_012,Gas concentration at 1300 K,Gas concentration at 1300 K,c̄,1e-16,1e-16,mol/m³,calculated,"[1300.0, 1300.0]",MX-type fuels,,experiment,measured_parameter,,模型计算值; steady state,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_013,Gas concentration at 1500 K,Gas concentration at 1500 K,c̄,3e-16,3e-16,mol/m³,calculated,"[1500.0, 1500.0]",MX-type fuels,,experiment,measured_parameter,,模型计算值; steady state,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_014,Gas concentration at 1700 K,Gas concentration at 1700 K,c̄,1e-15,1e-15,mol/m³,calculated,"[1700.0, 1700.0]",MX-type fuels,,experiment,measured_parameter,,模型计算值; steady state,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1979_Ronchi_FissionGasSwellingMX_Fuels_param_015,Gas creation rate (Table 2),Gas creation rate (Table 2),p,3e-17,3e-17,mol/(m³·s),,"[1300.0, 1300.0]",MX-type fuels,,experiment,measured_parameter,,,Ronchi_1979_Physical processes and mechanisms related to fission gas swelling in MX-type nuclear fuels.md,medium
1985_Willard_SwellingPhaseReversionU10Mo_param_001,Pre-exponential thermal diffusion coefficient,Pre-exponential thermal diffusion coefficient,D₀,0.01,1e-2,cm²/s,,,U-10 wt% Mo,,diffusion,diffusion_parameter,D_T = D₀*exp(-Q/RT),,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_002,Activation energy ratio Q/R,Activation energy ratio Q/R,Q/R,24600.0,24600,K,,,U-10 wt% Mo,,experiment,measured_parameter,D_T = D₀*exp(-Q/RT),,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_003,Thermal diffusion coefficient at 640°C,Thermal diffusion coefficient at 640°C,D_T,2e-14,2e-14,cm²/s,,,U-10 wt% Mo,,diffusion,diffusion_parameter,D_T = D₀*exp(-Q/RT),,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_004,Reference burnup rate for D_R,Reference burnup rate for D_R,(Bu̇)₁/₂,5250000000000.0,5.25e12,fissions/(cm³·s),,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_005,Radiation diffusion coefficient proportionality,Radiation diffusion coefficient proportionality,,2.67e-31,2.67e-31,cm²·s⁻¹/(fissions/cm³·s),,,U-10 wt% Mo,,diffusion,diffusion_parameter,D_R = 2.67e-31 × Bu̇,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_006,Critical fission rate at 371°C,Critical fission rate at 371°C,Bu̇_critical,880000000000.0,8.8e11,fissions/(cm³·s),,,U-10 wt% Mo,,rate_theory,defect_rate,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_007,Critical fission rate at 385°C,Critical fission rate at 385°C,Bu̇_critical,2200000000000.0,2.2e12,fissions/(cm³·s),,,U-10 wt% Mo,,rate_theory,defect_rate,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_008,Critical fission rate at 399°C,Critical fission rate at 399°C,Bu̇_critical,4800000000000.0,4.8e12,fissions/(cm³·s),,,U-10 wt% Mo,,rate_theory,defect_rate,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_009,Critical fission rate at 413°C,Critical fission rate at 413°C,Bu̇_critical,9200000000000.0,9.2e12,fissions/(cm³·s),,,U-10 wt% Mo,,rate_theory,defect_rate,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_010,Eutectoid transformation temperature,Eutectoid transformation temperature,,575.0,575,°C,,,U-10 wt% Mo,,experiment,measured_parameter,,,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_011,TTT nose time at 900°F,TTT nose time at 900°F,,20.0,20,hr,,,U-10 wt% Mo,,experiment,measured_parameter,,isothermal,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_012,Cracking threshold peak temperature,Cracking threshold peak temperature,,1125.0,1125,°F (613 °C),,,U-10 wt% Mo,,experiment,measured_parameter,,intergranular cracking onset,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",medium
1985_Willard_SwellingPhaseReversionU10Mo_param_013,Number of thermal shocks during irradiation,Number of thermal shocks during irradiation,,300.0,300,events,,,U-10 wt% Mo,,irradiation,irradiation_condition,,reactor scrams to RT,"R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",medium
1985_Willard_SwellingPhaseReversionU10Mo_param_014,Swelling specimen 2-1,Swelling specimen 2-1,ΔD/D,1.0,1.0,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 11000 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_015,Swelling specimen 4-2,Swelling specimen 4-2,ΔD/D,25.2,25.2,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 10100 Mwd/MTU, cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_016,Swelling specimen 4-5,Swelling specimen 4-5,ΔD/D,23.1,23.1,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 11800 Mwd/MTU, cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_017,Swelling specimen 4-9,Swelling specimen 4-9,ΔD/D,35.3,35.3,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 10900 Mwd/MTU, cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_018,Swelling specimen 6-3,Swelling specimen 6-3,ΔD/D,9.0,9.0,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 5600 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_019,Swelling specimen 6-4,Swelling specimen 6-4,ΔD/D,10.2,10.2,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 6100 Mwd/MTU, cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_020,Swelling specimen 6-7,Swelling specimen 6-7,ΔD/D,10.6,10.6,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 6300 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_021,Swelling specimen 6-9,Swelling specimen 6-9,ΔD/D,12.3,12.3,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 4700 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_022,Swelling specimen 7-3,Swelling specimen 7-3,ΔD/D,0.8,0.8,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 3000 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_023,Swelling specimen 7-6A,Swelling specimen 7-6A,ΔD/D,5.4,5.4,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 4600 Mwd/MTU, no cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1985_Willard_SwellingPhaseReversionU10Mo_param_024,Swelling specimen 7-6B,Swelling specimen 7-6B,ΔD/D,15.7,15.7,%,measured,,U-10 wt% Mo,,swelling_rate,swelling_parameter,,"实验测量值; 4600 Mwd/MTU, cracking","R.M. WILLARD_A.R. SCHMITT_1985_Irradiation Swelling, Phase Reversion, and Intergranular Cracking of U-10 wt %.md",high
1993_Rest_VoidSwellingAlphaU_param_001,Pre-exponential vacancy diffusivity,Pre-exponential vacancy diffusivity,Dv0,2e-08,2.0e-8,m²/s,,,α-U,,diffusion,vacancy_diffusion,,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_002,Vacancy migration energy,Vacancy migration energy,Em,1.28,1.28,eV,,,α-U,,diffusion,vacancy_diffusion,,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_003,Vacancy formation energy,Vacancy formation energy,Efv,1.6,1.6,eV,,,α-U,,diffusion,vacancy_diffusion,"Cv0 = exp(-Efv/kT), Eq. implied",,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_004,Dislocation bias for vacancies,Dislocation bias for vacancies,Zvd,1.0,1.0,dimensionless,,,α-U,,rate_theory,defect_rate,sink strength kvd = Zvd*ρ,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_005,Dislocation bias for interstitials,Dislocation bias for interstitials,Zid,1.025,1.025,dimensionless,,,α-U,,diffusion,interstitial_diffusion,sink strength kid = Zid*ρ,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_006,Surface energy,Surface energy,γ,0.5,0.5,J/m²,present calculation,,α-U,,surface_energy,surface_energy,"Cv0(Rc), Eq. 15",模型计算值,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_007,Recombination volume radius,Recombination volume radius,riv,2e-10,2e-10,m,,,α-U,,rate_theory,defect_rate,,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_008,Dislocation density U-10Zr,Dislocation density U-10Zr,ρ,70000000000000.0,7e13,m⁻²,present calculation,,U-10Zr,,rate_theory,defect_rate,sink strength,模型计算值,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_009,Dislocation density U-19Pu-10Zr,Dislocation density U-19Pu-10Zr,ρ,20000000000000.0,2e13,m⁻²,present calculation,,U-19Pu-10Zr,,rate_theory,defect_rate,sink strength,模型计算值,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_010,Bubble nucleation factor (bulk),Bubble nucleation factor (bulk),Fb,1e-05,1e-5,dimensionless,present calculation,,α-U,,bubble,bubble_nucleation,Eq. 1,模型计算值,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_011,Bubble nucleation factor (phase boundary),Bubble nucleation factor (phase boundary),Ff,1e-05,1e-5,dimensionless,present calculation,,α-U,,bubble,bubble_nucleation,Eq. 6,模型计算值,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_012,Atomic volume,Atomic volume,Ω,4.09e-29,4.09e-29,m³,,,α-U,,experiment,measured_parameter,Eq. 14,,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_013,Volumetric swelling U-10Zr at 1.2 at.%,Volumetric swelling U-10Zr at 1.2 at.%,ΔV/V,50.0,50,%,observed,,U-10Zr,1.2 at%,swelling_rate,swelling_parameter,,实验测量值; EBR-II X423,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
1993_Rest_VoidSwellingAlphaU_param_014,Incubation burnup U-10Zr,Incubation burnup U-10Zr,,0.2,0.2,at.%,,,U-10Zr,,swelling_rate,swelling_parameter,,EBR-II X423,Rest_1993_Kinetics_of_fission-gas-bubble-nucleated_void_swelling_of_the_alpha-uranium_phase_of_irradiated_U-Zr_and_U-Pu-Zr_fuel_73e6fc01.md,high
